asin,body,brand,date
B005WJJKE6,i love this phone. Its a messaging phone that does its job and more. I think the keyboard is better than the BlackBerry keyboard because its better spaced out. Overall if you text alot you are gonna love it,HUAWEI,"August 16, 2021"
B005WJJKE6,"my husband loves his phone. He doesn't like the small keyboard, but he loves the fact that he doesn't have to press the same key 4 or 5 times to get the letter or number he wants",HUAWEI,"August 16, 2021"
B005WJJKE6,This was a waste of my money and time. I waited for this phone for a week and when i got it i called Metro and they said they no longer use these type of phones. This should be taken off the market or ONLY advertised as a PLAY phone. CANNOT BE ACTIVATED.,HUAWEI,"August 16, 2021"
B005WJJKE6,"MetroPCS is a sucky service to begin with, but if you're struggling financially, you gotta do what you gotta do. Still, this phone was very cute. It makes typing very easy :)",HUAWEI,"August 16, 2021"
B005WJJKE6,I thought I could take pictures and receive my emails :( Only good thing is the keyboard..I thought it worked like a Blackberry,HUAWEI,"August 16, 2021"
B005WJJKE6,"Bought this phone for my daughter and she loves this phone!! Plus it was cheap!! If you have a teenager working a part-time job in school and they want a cell phone, Amazon.com is the way to go. Instead of me adding a family plan to my account, she has an account with Metro PCS and it's a month to month plan basis without a contract!!!",HUAWEI,"August 16, 2021"
B005WJJKE6,"My thumbs get in the way of of the small buttoms,causing some un-anticipated changes with many of the features.And if you wear glasses...your in for some difficult moments. Sorry I should have at least actually had one in my hands to check out the phone before hand.....My Mistake! Fred Smoot",HUAWEI,"August 16, 2021"
B005WJJKE6,"Reading the other reviews, you must have gotten a better version then I did. Entry level phone that was sold for $ 50 at Metro PCS stores at the time. They now sell a newer version of this phone. We have two of these and they both have the same issues. Battery life is crap with Metro PCS constantly sending you advertising 24 hours a day. If you turn the phone off, the battery keeps a decent charge. Camera is is mediocre, you need to buy a memory card to store video or more then a few pictures. Most annoying issue, the phones will turn off after the first ring on an incoming call. Both our phones have this issue at times ! Phone then reboots for about thirty to sixty seconds.",HUAWEI,"August 16, 2021"
B005WJJKE6,My 8 year old daughter begged her father until he caved and allowed her to have a phone. We went to Metro and got this phone. For the price it has been worth it. The speaker phone kind of sucks but the rest of it is good. The texting is easy on this phone and it is really easy to download music from my Droid to her phone via Bluetooth. All around it is a GREAT phone for the price.,HUAWEI,"August 16, 2021"
B005WJJKE6,This phone is horrible. It always freezes and turns off on me for no reason. Im telling you waste of your money. Plus the camera is terrible so is the speaker. I barley can hear anyone when i talk! I dont recoment this phone to anyone!,HUAWEI,"August 16, 2021"
B005WJJKE6,I have the phone and i like it only that it can't zoom on the phone or see videos on the internet please metro pcs make this phone see videos!!!!!!!!!!!!!!!!!,HUAWEI,"August 16, 2021"
B005WJJKE6,As described.,HUAWEI,"August 16, 2021"
B005WJJKE6,"This is the best non-smartphone from MetroPCS with very good battery life and features like Mp3 Player, video recording and expandable memory.",HUAWEI,"August 16, 2021"
B005WJJKE6,"I bought this phone for my son. So far it works great, it hasn't broke and he's happy with it.",HUAWEI,"August 16, 2021"
B005WJJKE6,This phone dosent have the durablity of the freeform II or III. It worked well but ease of use left more to be desired. the video capture was not all that great.,HUAWEI,"August 16, 2021"
B005WJJKE6,"Cheaper than on Metro PCS website or store: you save $20 plus taxes. Good nice phone, not a smart phone, don't be decieved, but a very reliable one",HUAWEI,"August 16, 2021"
B005WJJKE6,"Got this in a $25/month plan from metropcs. It's a great phone, battery lasts longer than the similar Samsung phone (my wife has the samsung, and I took this one). Looks better too! The samsung has voice caller ID (speaking the name of the person who's calling you), this one does not. The samsung has like 3-5 days of battery life. This phone has 5-7 days of battery life; and it lasts longer on a charge playing MP3, than my aged mp3 player (plays ~10 hrs of MP3 with large headphones, possibly longer with small headphones). The equalizer is basic though; not too much variation on settings. Apart from a media player, it has a same mpix camera as the samsung, but the display is noticeably of a slightly lower quality (Samsung's pixels are bigger, with this huawei you can still see the black space inbetween pixels). It has alarm clock, blue tooth, calculator, memo, voice recorder, stopwatch, calendar,and world time. The weather function does not work, because it needs internet. In case you take the more expensive $50 plan you can get single speed internet included, with which you can connect to the internet to download apps (none are free). The rest you get the regular metropcs crap, like 411, my extra's, metro app store. Do know you're only able to receive regular spam (you can disable it) about promotions, but you're not able to go on the internet. If voice dialing is not your thing, then the Huawei is a better buy! $10 cheaper too!",HUAWEI,"August 16, 2021"
B005WJJKE6,i pay 25$ a month!!! thats a deal .. that and because i got the promotion so ha ha ha ha ha ha h ah ah aha,HUAWEI,"August 16, 2021"
B015YCRZ1K,"As an iPhone convert, I was a little skeptical about making the move to Nexus and Android as a whole. I thought the transfer of my data would be hard (it wasn't), and I had a bunch of misconceptions about Android that were ultimately way wrong. I've made the switch and I don't think I'm ever going back. What Google has made is not only the iPhone's cheaper competitor, but also the Android OS as it was made to be; in it's purest form. I've always associated the Android OS with bloatware from carriers, resulting in a not so minimal and often ugly-looking phone. I've also never experienced Android on a premium device, meaning that it left a bad taste in my mouth when I used the OS on some cheap devices. But with Nexus, you get the real Android experience. Everything is buttery smooth, fast, fluid, intuitive, and most importantly, customizable. From the ground up, you can make your phone the way you want it to be. It's up to you how you want your phone to work. Anyways, enough about the OS. Let's talk about the phone itself and what makes it great. 1. Price & Value I buy my electronics for the long haul. The 6P is built superbly and has Gorilla Glass protecting its front and back. Despite what other say, I also find it easy to hold and don't worry about losing my grip on it. The 6P is sturdy, sleek, and unique all at the same time. I also want a good deal too. The 6P delivers on both of those fronts. It's main competitor, the iPhone 6s Plus, is $649 unlocked, and that's for a 16GB model. My 32GB 6P cost around ~$400 after some discounts at Best Buy. There's no doubt in my mind that the 6P is one of the best deals on the market right now. 2. Fingerprint Scanner The placement of the fingerprint scanner (top of the back) is perfect. It's just real natural to place your finger there to unlock your phone, nothing awkward about it. You can also log multiple fingerprints too, meaning that you could pick up the phone with either hand and unlock it. If you prefer not having to enter a password, your prints can be used to buy apps from the Play Store and open certain apps. The scanner is also one of the fastest, if not the fastest out there. The scanner is also incredibly accurate as well. In the few days I've used it, I can count on my hand the number of times it's incorrectly read my print, and that's probably user error. Simply put, Google is killing it here. 3. Camera Talk about a nice camera. I'll let the pictures I took do the talking. While Google's camera app leaves a little to be desired at times, it gets the job done. The camera performs great in all kinds of lighting, and is adept at adjusting to its surroundings. 12 MP is as good as it gets right now in smartphones, and while it's not DSLR-quality, your Instagram feed will still look good. Speaking of DSLR, I took some photos with my Nikon D40 for comparison. The first two are Nexus. *the photos below were untouched.* 4. Design/Size First of all, this phone isn't big at all. No, you don't need to be Lana from Archer to use this phone. I upgraded from a meager iPhone 4s, and was quite concerned about this phone's seemingly gargantuan size. But once you get it in hand, you'll see that you were worried about nothing. It's hard to explain, but you'll never want to have a small phone again after your first day with the 6P. It just feels right. Once you learn how to cradle the phone the right way, you'll forget about the phone's size. If you're still worried about the size, check out this site to compare the 6P to your current phone. http://www.phonearena.com/phones/size I will concede that on some apps, it's mildly inconvenient to stretch your finger all the way across the screen, but this is a small tradeoff for the big beautiful screen that you get. I gushed about the design a bit earlier, but it really is the cat's balls. The front-facing speaker is loud and clear, and won't muffle unless you put your phone face down. On the top, the earpiece produces great call quality and makes it easy to hear your caller. The phone is easy to hold, and the power/volume buttons don't get in the way. The aluminum and metal build make the phone feel and look premium, and it seems as if Google didn't cut any corners in designing this unit. 5. Battery Life A lot of critics have been gushing about this, and rightfully so. Without adjusting any of my settings, or using any battery management apps, the 6P can easily make it through a day and then some of heavy use. This varies of course, but I'm content as long as my phone makes it though the day without needing a charge. If you mess with your settings and/or use apps, the 6P can easily last you a couple of days if you manage the battery effectively. You can also easily analyze which apps are effecting battery performance. Using Google's official cable/adaptor, it takes about a little more than an hour for my phone to go from zero to one-hundred. That's from zero to one-hundred real quick. While the whole USB-C setup isn't exactly ubiquitous yet, it's fast and great for data transfer. The USB-C is reversible and can also be used to reverse charge, meaning that your 6P could charge someone else's USB-C device. 6. Software/Hardware As I said before, Android is what you make of it. Marshmallow is a great OS, and that's amplified by the fact that Google gives you no bloatware or add-ons. I believe that out of the box, only around 3 GB of the 32 total GB is occupied. It's the purest form of Android, how it was meant to be. Everything flows great. Google Now and it's cards are also really convenient once it gets to learn about you. The animations are smooth, glitchless, and the phone is fast thanks to 3GB of RAM. Nexus users also get Android updates first before the general populace, meaning your phone is up-to-date. You can expect these Nexus-only benefits to grow in the future as Google makes it like their iPhone. The Nexus is also equipped with real good hardware. The Snapdragon 810 processor, 3GB of RAM, and Adreno 430 GPU all work in harmony to keep your experience with games, apps, and multitasking lag-free. The Samsung AMOLED 1440 display is also one of the best screens on the market right now. Heck, the pictures I took looked way better on my Nexus before I uploaded them on my laptop. Colors are bright and vibrant, and video is top-class. The brightness also has a wide range. At its lowest, the screen is even a little too dark for nighttime use. At it's brightest, it can contend with the bright sun. 7. Cellular Data I've been using Google's Project Fi thus far, and I'm really impressed. I got my SIM card in the mail and a nice phone stand LEGO set from them in the mail free of charge. Porting my number over took about five minutes, and my service has been great. Fi uses T-Mobile and Sprint for data, and places calls over Wi-Fi when possible by using encryption/VPN. Using my phone out and about almost seemed faster than my in-home Internet, and calls over both Wi-Fi and cell were clear and great quality. You can also manage your data in the Settings by alerting you when your data used reaches a certain amount, and you can even set a limit that will turn off your phone's data when exceeded. 8. Misses While the Nexus 6P is great by almost every standard in the book, here are a few things I wish this phone would have. - wireless charging - dual SIM port - expandable micro SD - removable battery - different screenshot option (Pressing power/volume down at the same time is awkward. Thankfully you can long press the home button and press the share button on the left to bypass this.) Overall, the Nexus 6P is probably the best value on the phone market. You've got top-of-the-line performance at a significant discount from its main competitor in the Apple 6s Plus, and you get Android in its greatest form. With a great camera, display, hardware, software, and preferred treatment from Google, the Nexus 6P should be in your pocket. PICS #1 & #2: shot with Nexus 6P; no editing #3 & 4: shot with Nikon D40 DSLR; no editing #5: Backside of 6P #6: My gross hand #7: Backside with camera/mic/scanner #8: Side (SIM port on top left) #9: My home screen. Just showing what cool things you can do with Android. Nova Launcher Prime and Moonshine are the launcher/icon combo I used. #10: Second screen. Same stuff. #11: What the battery screen looks like. Great for analyzing when and what effects your battery.",HUAWEI,"February 7, 2021"
B015YCRZ1K,"I've owned this phone for years. I bought it from Google, I still use it. I bought this refurbished version for my child. Good phone, low cost. Bad move. The battery is garbage, The phone goes from 100% to 50% in two hours, then immediately dies. Indicative of a bad/old battery. Very obvious the phone was not refurbished but simplly repackaged and and sold. Don't waste your money. Also refurbished unit is not sold by Huawei. So feel free it insult Amazon for for enabling fraud.",HUAWEI,"February 7, 2021"
B015YCRZ1K,"My phone is at the same 1.5 year mark as everyone else and it's shutting down at 25+% battery. Also It'll show in the battery settings that it's used about 4% of the battery, but the battery itself is at 81%. That being said, I unplugged it from the charger at 5 am, took it to work and put it in my locker where it's sat with GPS, bluetooth and everything else off. I then check at 9 am and voila it's at 81% after having done nothing for 4 hours. This has become much more apparent over the course of the last few months, along with a host of other issues that are cropping up (similar to the other 1 star comments) As for the phone itself: The camera takes pretty good pictures and has a photo-sphere function that I love to use for my 3D modeling (not a selling point for everyone). I've never had major issues with the camera other than that. Software was working good for the most part up until these battery issues showed up and now certain things like Google Drive will re-start uploads from 1-2 months ago that never finished due to connectivity or something and just show ""UPLOADING"" till I restart the phone. Cell service has been decent but on the spotty side if I do say so myself. I switched from a Sprint phone to this thinking that I'd get the best of both worlds and it seems like I get less coverage than either sprint or t-mobile (which Fi is supposedly using both). My guess is that both companies are giving Google Fi their worst bandwidth/frequencies at a discount rate. Either way, I drop one of every 5 calls and wi-fi calling will cut in and out randomly on my phone while my roommates are also using the wi-fi calling on apple or Samsung products and not having any issues. All of this being said, I don't call most of the time and I really like paying only for what I use, and usually go under my 2Gb limit for the month. So there's that. In Summary: I wish now that I'd spend the extra $50 to $100 dollars on a manufacturer that would've made this phone with more quality parts. I like the phone in general and feel cheated having to spend another $5-600 getting a new phone seeing as this one is becoming unusable after only 1.5 years. Bummer.",HUAWEI,"February 7, 2021"
B015YCRZ1K,"Great Phone. Miserable customer service from Huawei. Avoid this purchase and pay the extra through the Google store. My phone boot looped a month ago, and I contacted Huawei who initated an RMA (phone in warranty), but never sent a shipping label. Ive contacted them five times and still don't have the label. They have gone radio silent.",HUAWEI,"February 7, 2021"
B015YCRZ1K,Battery problems with phone shutting down randomly even with 95% battery charged. Ordered phone in March of 2016 and used it until September of 2017 when the problem started happening all of a sudden. This is a known issue with this phone and neither Google nor the manufacturer want to acknowledge it or Do anything about it. Others who purchased this phone directly through the Google Store have had their phones replaced immediately with Google pixel XL after reporting this problem however if you purchase this phone through Amazon you get no support from the manufacturer who does not want to acknowledge the problem. Calling to manufacture these days gets you put on hold for a long time until you are given a message that the support services are too busy and you just get disconnected without being able to reach anyone or leave voicemail. I will never order another Google phone from Amazon North from this manufacturer ever again.,HUAWEI,"February 7, 2021"
B015YCRZ1K,"I owned the Nexus 4 and Nexus 5 done by LG and loved them, so fo rme it was a no brainer to get this product. However it was not done by LG, it was done by Huawei. And of course Huawei offers a guarantee of 12 months (1 year), 12.5 months after, 2 weeks ago, my phone started to shut down when there was still 20% of battery life. Now after fully charges, and 10 minutes of use, it is turning down by itself. I have to walk around having the phone connected to external charger. I have not contacted Huawei yet as i know for sure they will tell me, sorry 12 months is up. Hope somebody reads this and assist me as this is unbearable. I was always happy with Nexus phones and this is a huge let down. UPDATE: I have contacted customer services, a guy name Rick told me that I was still under the guarantee. I'm sending it to have it fixed. I hope they do. BTW, Rick was a great help. UPDATE 2: So i sent the item and got it back ""repaired"". I used it 3 days with no issues and it turn off by itself and now is stuck in initial Google screen. I have to send it back to customer service, however they are making me pay for the UPS as i am currently in Puerto Rico. This is really making me think to not ever get a Huawei device.",HUAWEI,"February 7, 2021"
B015YCRZ1K,"Huawei Phones were built with faulty main computer boards that crash to an unsolvable boot loop in a short period of time. Calling the product manufacturer line at 888-548-2934 the manufacturer's official stance is if your $500 product is out of warranty for a year and this known fatal design flaw kicks in at 13 months (which it will) they do not stand behind their product and the only resolution offered is for you to buy a new phone from them. I would give them a zero if I could. I do not mind paying for quality, in this case they are charging a premium for a known faulty device and do not stand behind what they make. Shame on Huawei and shame on Google for this scam.",HUAWEI,"February 7, 2021"
B015YCRZ1K,"PLEASE PLEASE BEWARE of this device. I must admit that I first I loved it but in less than a year, it became useless. Just go on the Google, and you'll see there is a known issue with this device's software and battery . It leads to quick battery drain followed by the device shutting down (often with 20-25% battery left). Other customers get locked into a bootloop. Both Google and Huawei acknowledge the issue but that doesn't help you if this phone is your only means of communications. If you purchase directly from Google, they will do an immediate exchange but dealing with Huawei can be a nightmare or be a process that takes up to a month. Huawei rep freely admitted that the device they send back to you might encounter the problem again. Google support just tells you they are aware of the problem but that is no fix. Unlike Apple, you have no physical store to go to. You have no loaner phone to use while you send the phone away for months. Im so disappointed and angry with this fiasco as the owner of the device has no landline, needs phone access to communicate with medical professionals or even take an Uber. Long story short, this phone is too good to be true. If you havent encountered the problems yet, be glad. They will come for most people. Google says the problem involves software updates but after all this time, there are no fixes.",HUAWEI,"February 7, 2021"
B015YCRZ1K,"I bought this on the recommendation of my son (works in IT support), and after checking online reviews. This phone exceeded expectations. I switched from a Blackberry 9930 to the Nexus 6P. After just a few hours the phone was personalized for me: several email accounts, messaging, the web (with all bookmarks), contact list, transferring MP3's and AVI's, etc. The camera, display and audio quality are great! I snapped a photo of a flower arrangement from 4' away in a dimly lit room - someone said it looked like a high def painting. The detail and color/tonal balance was incredible for a flash photo. I know there isn't any image stabilization but that's not an issue. I really like the lack of bloatware. As a result, customization is easy - just read the online manuals and FAQs. Things work well because there's simple consistency across the phone's operation - no third party quirks to deal with or get rid of. Highly recommended. I wish I had bought one earlier. I also wish I'd bought the 128 GB version instead of the 64 GB version. Edit: after 1 year and 2 months there is a major problem with the battery (warranty expired last month 😠). Because I ""charged it too much"" the battery expanded, pushing the transparent screen face out of it's case. It was going to cost me $80! Unacceptable for such an expensive phone (at least it used to be expensive). I called Huawei and returned for service. After a week my phone is still not back. I called Huawei and they basically said, ""That's our policy, live with it."" Their phone support is terrible! I wish they could speak English. Read the many one star reviews before buying this phone!!! NOT RECOMMENDED!!!",HUAWEI,"February 7, 2021"
B015YCRZ1K,"To everyone considering this phone or another Huawei product - here is your warning. I purchased this new directly from Amazon last year, the phone is still under warranty recently noticed the metal frame around the power button the volume button crimping/bending - simple issue I thought? Called Huawei support - sent them six pictures of the phone at their request - NO REPAIR - they consider it ""physical damage"" - even though the frame on their phone failed. Phone has been in case and protected since day one. Beware you are on your own even if your phone is still COVERED by warranty. Terrible service. Never will I buy one of their products again.",HUAWEI,"February 7, 2021"
B01COSAKMI,"A great phone! Smooth and easy to use, great screen, expandable storage, large size, attractive metal unibody, what else can i say? I love it.",HUAWEI,"May 31, 2021"
B01COSAKMI,Muy buen telefono,HUAWEI,"May 31, 2021"
B01COSAKMI,Cumple con las espectativas,HUAWEI,"May 31, 2021"
B01COSAKMI,"The battery life is very poor and also over heats. Going to buy an iPhone and would not recommend any Chinese phones please. When talking, the phone just hung up, the network goes off frequently and the other person cannot hear me at all. Please do not buy Chinese phones, they have a lot of issues. Tried several of them but very disappointed now. Cannot buy any other. Do not buy. Overheating while talking and sometimes feels like.the phone is going to blow up on my ear and I use loud speaker to be safe.",HUAWEI,"May 31, 2021"
B01COSAKMI,Gave this phone as a gift to my partner and he was thrilled !! Takes beautiful pictures and the rapid charge it came with is excellent ! Also love the fact that it came with a screen protector ! Perfect phone for a good price!,HUAWEI,"May 31, 2021"
B01COSAKMI,"VERY fast delivery, phone was packed VERY nicely too..awesome phone I must say.",HUAWEI,"May 31, 2021"
B01COSAKMI,"Great! Pros: Great battery + quick charge. Smooth transitions, very good performance.",HUAWEI,"May 31, 2021"
B01COSAKMI,The phone really impressed me. I have been using it for two months and it still runs very smoothly. The battery last for one day (heavy use) or two days (moderate use). Charging is also fast.,HUAWEI,"May 31, 2021"
B01COSAKMI,Was a exelent Phone but Just for any telephone company dont work,HUAWEI,"May 31, 2021"
B01COSAKMI,"The hardware is great, But the software is messed up big way by Huawei. Great sound, speed, and screen. Enough charge for a day. Needs a home button! Give me the home butto CONS: it has a customized Mashmallow Android - I really dislike how they messed up the options - things are impossible to find, access to the files via USB is now more restricted than before - so my automatic transfer doesn't work anymore... Many inconveniences. CONS: the screen is dimmer, than Galaxy, it is hard to use in the California daylight. PROS: pretty fast, the sound is amazingly loud and deep. OLDER REVIEW I often use the phone while driving or riding or walking the dogs and use hadrware home button - to pick up calls. Now there is no way to pick up calls via hardware, one has to look at the screen and even worse - the new system sometimes requies the user to slide and other times to click on a green circle to pick up a call. Very user unfriendly. I missed several calls just because of that. PROS: great speakers! It sounds much deaper than my old Samsung Galaxy S5. Great deep sound, pretty loud. Much faster than S5, I like the size and the feel. CONS: give me back removable battery design! I used to carry 5 charged batteries with me. Now, the buttery is stationary. So one has to carry an external charger/battery - much worse.",HUAWEI,"May 31, 2021"
B01COSAKMI,I love it,HUAWEI,"May 31, 2021"
B01COSAKMI,Very good product,HUAWEI,"May 31, 2021"
B01COSAKMI,Artived in expected time. The phone is very good. I was worried on the ips screeen because i used to amoled screens. But really surprised the ips is way better than expected. + 6 inch screen Long lasting battery Quick charging Fastest processor Fingerprint reader is accurate Came with phone cover and screen protector applied. Nice metal body - 3gb ram in not enough sometimes.keep clearing memory Camera is average. Especially video is bad in dim lights Rooting is complex. I used to root phones for more customisation,HUAWEI,"May 31, 2021"
B01COSAKMI,"Hard to beat for price, great working phone. Fast, fluid, and no lag. Battery last all day on heavy usage. Using it on T-Mobile with no issues. And the 1080p display looks just as good as my v20.",HUAWEI,"May 31, 2021"
B01COSAKMI,"After 1 year of using this phone I love it. Excellent performance. Great battery life. Big screen. I only found a few cons: does not update the os, the screen definition is not the best and de camera is just fine. The rest is excellent. I used lg g2 g3 blackberry priv, Samsung galaxy s6 previously",HUAWEI,"May 31, 2021"
B01COSAKMI,Todo bien,HUAWEI,"May 31, 2021"
B01COSAKMI,I been researching this phone since day one. I finally decided to get it for my birthday and I'm extremely happy with my purchase.,HUAWEI,"May 31, 2021"
B01COSAKMI,The software skin on this makes it very difficult to use if you're used to North American style Android skins.,HUAWEI,"May 31, 2021"
B01COSAKMI,Te battery is awsome,HUAWEI,"May 31, 2021"
B01IVV7W8M,"I loved this phone. It worked great, it looked amazing...then it stopped charging. I sent it in for repair to 2.5 weeks which is difficult when I use my phone for Work! They provide no loaner or options and have no local repair places. Received my phone back and I finally programmed everything back in to find out the charging situation WASN'T fixed. ALSO people can only hear me when I use speakerphone. So I know they attempted a repair but it is now worse. I have asked for a replacement unit and they refuse saying sending it for repair is their only way to proceed. After 6 month of the first issue my phone remains broken as they won't respond to emails and when speaking with them on the phone they say they will turn it into an upgraded case and have someone contact me, B.S.. I have heard from no one. I took my pictures to prove the phone isn't damaged for the second time and for two months have been waiting for shipping label to be sent. While it was repaired 10 days later I called in and they couldn't find my information. The person I spoke with wasn't even sure what my phone was there for. I asked if it was fixed and he said ""it sure is!"" I asked what they did and he said he had no idea. I explained the situation with it and he stated he was sure they replaced the battery. A little bit or irony. Their motto, ""Honor - For the brave!"" I know exactly what that means now. Be very brave if you go down the honor path!",HUAWEI,"August 5, 2021"
B01IVV7W8M,"What a fantastic phone for a little over $300! I previously had the iPhone 6 and then a Samsung Galaxy S7, this device exceeds the performance of either of those phones. It's snappy fast, hotspots well (I live in a rural area and my phone is my only internet!) and has a high quality display. This device packs a lot of great features into a small and affordable package. I put a Sparin clear case on it so the white shows off. People frequently comment on how sleek the phone looks and ask what it is. It's running the latest version of android and I'm extremely pleased. I will comment that while the camera on this is very good, it's not great in low light. In fact, the S7 camera was a superior camera but again...for the money you can't beat this phone. I've included a few shots from the camera so you can see image quality. the photos on the creek were snapped while the phone was in a watertight bag so that has a minor impact on the image quality as well, giving it a slightly hazy effect. This is not a splash resistant or waterproof phone as the Samsung S7 was or some of the Motorolas that are now available. If you're careful with your phone, it shouldn't be necessary but it's important to note. I selected the phone for the 64 GB harddrive storage and for the excellent processor and speed and it does not disappoint. This has the best fingerprint scanner on any phone I've used. I added my index and middle fingerprints so I have some flexibility depending on how I'm holding the phone and added my husband's fingerprint as well so if I'm driving he can operate my phone (Google Maps, etc.). It unlocks in an instant, super fast! Overall, highly recommended android phone for AT&T. I understand it's also compatible with T-Mobile but I have not tested it with that provider as they have poor coverage in the rural area I live.",HUAWEI,"August 5, 2021"
B01IVV7W8M,"I researched phones for weeks before deciding on this one. I was focused on finding the best camera, speed, and network quality that I could for my price point. This phone exceeded my expectations in all of these areas. It was the best quality for the price that I found, hands down. To be honest, I am disappointed by the camera in low lighting. But when the lighting is moderate to good, the camera is excellent. There are SO MANY features in the camera, I haven't even had a chance to go through all of them yet. I like the ""beauty mode"" setting. ""Time-lapse"" and ""Light Painting"" are also really cool. Speedy phone. Apps open seamlessly. 64 gigs is great, so much room for everything. The screen is gorgeous. Vivid, bright colors. I activated this phone with T-Mobile and have had great call quality. I've gotten several comments from people on how clear my voice sounds, and I have noticed a significant difference in the quality of their voices as well. It's a beautiful phone. Sleek and smooth. Somewhat fragile, but just make sure to invest in a good case and screen protector.",HUAWEI,"August 5, 2021"
B01IVV7W8M,"To start with, if I could have returned this while it was under the 30 day return from Amazon I would have, but it didn't start having issues until about day 40. It started with the GPS not working after it had completed a route and then you tried routing back home. It simply will not get a lock and would estimate the position , which is not good while you are driving. After a few days of this it finally just quit working. I contacted Huawei's service department and it took 2 days to get them to issue an RMA to get the unit repaired. They sent a call tag for me to return the item and said it would take 7 to 10 days. It took a total of 16 days for me to receive the unit back (their repair center was getting shipped 10 miles from me) . It worked for about a week and ended up with the same issue. This model is known after I started searching for having issues with the GPS. I called and requested that Huawei issue me a new phone and I would return this one so that I didn't have to be without a phone for an additional 2 weeks as well as the fact I don't think it can be repaired or it would have been fixed correctly the first time. I was informed that they had to go through the RMA process and I didn't have any other options. So I am now writing my dissatisfaction with their company, and that if you need service, know that you are going to have to wait a long time and there is no confidence it will be fixed correctly. Other than that, the phone worked ok. I have been underwhelmed with the UI - it is proprietary and is ok, but definitely different trying to adjust from stock android UI. Battery life was above average and the phone ran programs quickly with no issues. I would not recommend this unit and suggest you search for GPS issues for Honor 8 before spending this much money on a phone.",HUAWEI,"August 5, 2021"
B01IVV7W8M,"This is by far the best phone that I've owned. Aesthetically, it is beautiful; it takes amazing photos, is lightning fast, it's proprietary GUI is is awesome, but that is a very subjective thing -- some might like it and some might not. The saving grace for that is that you can still use custom launchers like Nova Launcher, and with 7.x.x (Nougat), it gives you more control over the EMUI/Interface. The full glass encasement of the phone really puts emphasis on this phone's beauty. I wouldn't cover the look of this phone by using a solid color case -- I'd suggest using the Sparin crystal clear case; it has reinforced corners, slightly raised edges so you can lay your phone face down without fear of scratching it, and they come in packs of two for $7.99 with free one day shipping for prime members. As for a screen protector, I spent about a week researching screen protectors and trying them all out. It's was a bit harder to find a decent screen protector for this phone because it has a beveled 2.5 dimensional screen, but after trial and error, I have found that the Nacodex glass screen protector does an amazing job at covering as much as possible without compromising the integrity of the screen protector. If you want a non-glass screen protector, radipest and dmax have thin anti scratch screen protectors that allows full coverage of the screen due to the screen protector's malleability. On top of that, this phone has some awesome hidden features like being able to assign functions to 'knuckle gestures'. An example of this would be when I knock on my screen with my knuckles, it takes a screen shot of the screen, or if I take and hold my knuckle on the screen, followed by dragging it around, I draw a frame around a specific part of the screen, I can take a cropped screenshot of whatever I drew the frame around. There are a ton more hidden and innovative features on this phone that I'm finding. Also, the finger print scanner works flawlessly even when holding the phone awkwardly. Overall, this phone is amazing.",HUAWEI,"August 5, 2021"
